lote,orden,palabra_id,kichwa,espanol,categoria,tipo_visual,prompt,descripcion_candidata,estado
1,1,2087,yakumama,anaconda,Animales,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “yakumama”, que en español significa “anaconda”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de anaconda, correspondiente a la acepción Kichwa yakumama.",preparada
1,2,1811,wiwa,animal,Animales,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “wiwa”, que en español significa “animal”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de animal, correspondiente a la acepción Kichwa wiwa.",preparada
1,3,1643,uru,araña,Animales,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “uru”, que en español significa “araña”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de araña, correspondiente a la acepción Kichwa uru.",preparada
1,4,134,atyak,babosa,Animales,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “atyak”, que en español significa “babosa”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de babosa, correspondiente a la acepción Kichwa atyak.",preparada
1,5,54,amaru,boa,Animales,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “amaru”, que en español significa “boa”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de boa, correspondiente a la acepción Kichwa amaru.",preparada
1,6,2296,uwiha,borrego,Animales,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “uwiha”, que en español significa “borrego”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de borrego, correspondiente a la acepción Kichwa uwiha.",preparada
1,7,715,kuskunku,búho,Animales,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “kuskunku”, que en español significa “búho”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de búho, correspondiente a la acepción Kichwa kuskunku.",preparada
1,8,97,apiw,caballo,Animales,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “apiw”, que en español significa “caballo”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de caballo, correspondiente a la acepción Kichwa apiw.",preparada
1,9,89,apankura,cangrejo,Animales,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “apankura”, que en español significa “cangrejo”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de cangrejo, correspondiente a la acepción Kichwa apankura.",preparada
1,10,325,churu,caracol,Animales,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “churu”, que en español significa “caracol”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de caracol, correspondiente a la acepción Kichwa churu.",preparada
